url,section,title,static_html,body_text_chars
https://www.sjsu.edu/chhs-ssc/index.php,academic-advising,College of Health and Human Sciences (CHHS) Student Success Center | CHHS Student Success Center,yes,884
https://www.sjsu.edu/essc/graduate/advising/index.php,academic-advising,General Advising | Engineering Student Success Center,yes,881
https://www.sjsu.edu/essc/index.php,academic-advising,Engineering Student Success Center,yes,518
https://www.sjsu.edu/essc/undergraduate/index.php,academic-advising,Undergraduate  | Engineering Student Success Center,yes,829
https://www.sjsu.edu/lcobssc/advising/faq.php,academic-advising,Frequently Asked Questions | Jack Holland Student Success Center,yes,4474
https://www.sjsu.edu/lcobssc/advising/index.php,academic-advising,Advising | Jack Holland Student Success Center,yes,605
https://www.sjsu.edu/lcobssc/index.php,academic-advising,Jack Holland Student Success Center,yes,1466
https://www.sjsu.edu/luriessc/advising/academic-notice-advising.php,academic-advising,"Disqualification, Reinstatement and Academic Notice  | Lurie College of Education Student Success Center",yes,2589
https://www.sjsu.edu/luriessc/advising/index.php,academic-advising,Advising | Lurie College of Education Student Success Center,yes,2839
https://www.sjsu.edu/luriessc/index.php,academic-advising,Lurie College of Education Student Success Center,yes,1264
https://www.sjsu.edu/science-ssc/advising/index.php,academic-advising,Advising Services | College of Science Student Success Center,yes,943
https://www.sjsu.edu/science-ssc/index.php,academic-advising,College of Science Advising Center | College of Science Student Success Center,yes,717
https://www.sjsu.edu/socsci-ssc/academic-advising/index.php,academic-advising,Academic Advising - College of Social Sciences | College of Social Sciences Student Success Center,yes,4461
https://www.sjsu.edu/socsci-ssc/index.php,academic-advising,College of Social Sciences Student Success Center,yes,535
https://www.sjsu.edu/studentconduct/about/contact-us.php,student-conduct,Contact Us | Student Conduct and Ethical Development,yes,668
https://www.sjsu.edu/studentconduct/about/faq.php,student-conduct,FAQ | Student Conduct and Ethical Development,yes,6618
https://www.sjsu.edu/studentconduct/conduct-processes/academic-integrity.php,student-conduct,Academic Integrity | Student Conduct and Ethical Development,yes,2321
https://www.sjsu.edu/studentconduct/conduct-processes/student-conduct.php,student-conduct,Student Conduct | Student Conduct and Ethical Development,yes,2209
https://www.sjsu.edu/studentconduct/index.php,student-conduct,Student Conduct and Ethical Development,yes,1316
https://www.sjsu.edu/studentconduct/resources/student-resources.php,student-conduct,Student Resources | Student Conduct and Ethical Development,yes,2149
https://www.sjsu.edu/commcenter/index.php,tutoring-academic-support,Communication Center,yes,505
https://www.sjsu.edu/commcenter/students/tutoring.php,tutoring-academic-support,Peer Tutoring | Communication Center,yes,403
https://www.sjsu.edu/testing/contact-us/index.php,testing,Contact Us | Testing Office,yes,1743
https://www.sjsu.edu/testing/index.php,testing,Testing Office,yes,425
https://www.sjsu.edu/testing/services-offered/cbe.php,testing,Credit by Examination (CBE) | Testing Office,yes,2756
https://www.sjsu.edu/testing/services-offered/clep.php,testing,College Level Examination Program (CLEP) | Testing Office,yes,4123
https://www.sjsu.edu/testing/services-offered/general-proctoring-services.php,testing,General Proctoring Services | Testing Office,yes,3322
https://library.sjsu.edu/,library,"Home - Dr. Martin Luther King, Jr. Library at San José State University Library",yes,1745
https://library.sjsu.edu/affordable-learning-solutions/etextbooks,library,"eTextbooks - Affordable Learning Solutions - Dr. Martin Luther King, Jr. Library at San José State University Library",yes,1060
https://library.sjsu.edu/ask-librarian,library,"Get Help - Ask Us - Dr. Martin Luther King, Jr. Library at San José State University Library",yes,777
https://library.sjsu.edu/library-hours,library,"Library Hours - SJSU Library Hours - Dr. Martin Luther King, Jr. Library at San José State University Library",yes,802
https://library.sjsu.edu/student-computing-services,library,"Student Computing Services - Student Computing Services - Dr. Martin Luther King, Jr. Library at San José State University Library",yes,2068
https://www.sjsu.edu/chicanxlatinxssc/index.php,identity-belonging,Chicanx/Latinx Student Success Center,yes,1298
https://www.sjsu.edu/chicanxlatinxssc/resources/campus-resources.php,identity-belonging,Campus Resources | Chicanx/Latinx Student Success Center,yes,499
https://www.sjsu.edu/chicanxlatinxssc/services.php,identity-belonging,Programs & Services | Chicanx/Latinx Student Success Center,yes,4463
https://www.sjsu.edu/mosaic/about/what-we-do.php,identity-belonging,What We Do | MOSAIC Cross Cultural Center,yes,3843
https://www.sjsu.edu/mosaic/index.php,identity-belonging,MOSAIC Cross Cultural Center,yes,1792
https://www.sjsu.edu/mosaic/resources/index.php,identity-belonging,Resources | MOSAIC Cross Cultural Center,yes,851
https://www.sjsu.edu/naissc/index.php,identity-belonging,Native American Indigenous Student Success Center,yes,1342
https://www.sjsu.edu/naissc/resources/campus-resources.php,identity-belonging,Native American and Indigenous Campus Resources | Native American Indigenous Student Success Center,yes,1325
https://www.sjsu.edu/naissc/services/index.php,identity-belonging,Services | Native American Indigenous Student Success Center,yes,1809
https://www.sjsu.edu/pride/about-us/index.php,identity-belonging,About Us | PRIDE Center,yes,1849
https://www.sjsu.edu/pride/index.php,identity-belonging,PRIDE Center,yes,1263
https://www.sjsu.edu/pride/resources/index.php,identity-belonging,Resources | PRIDE Center,yes,684
https://www.sjsu.edu/getinvolved/about/index.php,student-involvement,About | Student Involvement,yes,668
